Avg Speed (km/h),Distance (km),Road Type,Battery (kWh),Top Speed (km/h),Range_per_Charge,Bus Type,Charger Type,Passenger Capacity
31,185,Urban,386,90,311,Standard City Bus,Pantograph,65
43,240,Highway,377,99,314,Standard City Bus,Fast DC,56
37,183,Urban,440,85,357,Articulated Bus,Fast DC,89
33,136,Rural,396,82,307,Articulated Bus,Fast DC,88
47,269,Highway,467,106,358,Double Decker Bus,Fast DC,74
26,196,Rural,328,79,247,Mini Bus,Depot,35
35,240,Urban,450,83,372,Double Decker Bus,Pantograph,82
37,180,Urban,282,89,232,Mini Bus,Fast DC,25
33,233,Urban,336,83,244,Mini Bus,Fast DC,32
27,170,Rural,480,77,389,Double Decker Bus,Fast DC,83
43,268,Highway,285,93,235,Mini Bus,Depot,28
53,299,Highway,478,110,348,Double Decker Bus,Pantograph,83
33,208,Urban,374,88,295,Standard City Bus,Fast DC,54
34,198,Rural,434,79,344,Articulated Bus,Depot,92
32,199,Rural,460,84,344,Double Decker Bus,Pantograph,82
47,226,Highway,468,99,395,Double Decker Bus,Fast DC,84
25,165,Rural,407,77,290,Articulated Bus,Pantograph,85
30,231,Urban,303,82,235,Mini Bus,Fast DC,26
38,197,Urban,404,98,336,Articulated Bus,Fast DC,95
30,138,Rural,455,79,334,Double Decker Bus,Depot,74
35,235,Urban,289,82,229,Mini Bus,Pantograph,35
26,198,Rural,281,74,210,Mini Bus,Depot,25
39,195,Urban,434,89,326,Double Decker Bus,Depot,85
37,234,Urban,463,93,388,Double Decker Bus,Pantograph,82
36,227,Urban,406,82,310,Standard City Bus,Fast DC,57
32,215,Urban,447,89,346,Double Decker Bus,Fast DC,71
37,184,Urban,374,97,279,Standard City Bus,Depot,62
29,176,Rural,285,87,207,Mini Bus,Depot,34
35,215,Urban,404,94,288,Articulated Bus,Depot,90
43,221,Highway,363,103,292,Standard City Bus,Fast DC,61
30,149,Rural,453,88,353,Articulated Bus,Depot,84
47,248,Highway,392,107,328,Standard City Bus,Depot,57
44,251,Highway,396,90,288,Articulated Bus,Depot,83
46,240,Highway,439,102,355,Articulated Bus,Pantograph,86
34,196,Rural,386,82,282,Standard City Bus,Pantograph,65
46,263,Highway,374,98,298,Standard City Bus,Pantograph,56
55,256,Highway,407,108,316,Articulated Bus,Depot,81
41,244,Highway,417,93,337,Standard City Bus,Pantograph,55
34,219,Urban,400,83,308,Standard City Bus,Pantograph,58
32,177,Rural,330,86,262,Mini Bus,Depot,33
37,212,Urban,434,97,356,Articulated Bus,Fast DC,83
54,232,Highway,366,103,262,Standard City Bus,Depot,62
51,256,Highway,456,110,366,Double Decker Bus,Depot,85
35,218,Urban,444,87,348,Double Decker Bus,Fast DC,76
33,156,Rural,444,93,326,Double Decker Bus,Pantograph,72
41,273,Highway,285,92,237,Mini Bus,Pantograph,27
30,197,Urban,480,82,389,Double Decker Bus,Fast DC,85
30,226,Urban,415,76,343,Articulated Bus,Depot,80
46,254,Highway,286,103,201,Mini Bus,Depot,26
53,263,Highway,441,105,351,Double Decker Bus,Fast DC,82
28,164,Rural,464,87,341,Double Decker Bus,Fast DC,81
35,181,Rural,281,82,237,Mini Bus,Depot,31
42,298,Highway,423,100,324,Double Decker Bus,Fast DC,77
27,190,Rural,398,85,324,Articulated Bus,Pantograph,93
55,231,Highway,440,114,359,Articulated Bus,Depot,90
30,170,Urban,386,87,283,Standard City Bus,Depot,60
43,229,Highway,392,88,330,Articulated Bus,Pantograph,80
45,231,Highway,467,102,376,Double Decker Bus,Fast DC,74
48,285,Highway,284,94,214,Mini Bus,Pantograph,33
32,192,Rural,445,87,326,Double Decker Bus,Pantograph,76
35,197,Rural,424,90,336,Double Decker Bus,Pantograph,81
35,140,Rural,378,88,282,Standard City Bus,Depot,55
32,171,Rural,429,82,336,Double Decker Bus,Fast DC,76
32,240,Urban,384,92,322,Standard City Bus,Depot,57
33,213,Urban,470,89,393,Double Decker Bus,Depot,84
35,215,Urban,391,95,324,Articulated Bus,Fast DC,95
26,170,Rural,452,73,362,Articulated Bus,Depot,80
51,274,Highway,452,97,331,Articulated Bus,Pantograph,89
53,288,Highway,283,104,203,Mini Bus,Depot,28
44,280,Highway,393,98,323,Standard City Bus,Depot,64
32,209,Urban,295,81,232,Mini Bus,Pantograph,34
35,217,Urban,416,88,347,Standard City Bus,Pantograph,51
39,239,Urban,381,95,267,Standard City Bus,Depot,57
46,240,Highway,474,104,341,Double Decker Bus,Pantograph,70
39,201,Urban,453,95,361,Double Decker Bus,Pantograph,76
44,221,Highway,422,94,295,Double Decker Bus,Depot,71
32,207,Urban,407,88,292,Articulated Bus,Pantograph,84
32,150,Rural,333,85,279,Mini Bus,Depot,30
37,200,Urban,322,96,226,Mini Bus,Fast DC,27
27,154,Rural,438,75,323,Articulated Bus,Depot,85
43,297,Highway,462,94,380,Double Decker Bus,Depot,82
49,261,Highway,422,102,298,Double Decker Bus,Fast DC,83
38,202,Urban,380,93,279,Standard City Bus,Fast DC,58
27,145,Rural,365,75,276,Standard City Bus,Depot,50
30,240,Urban,421,83,318,Double Decker Bus,Pantograph,72
46,273,Highway,330,94,271,Mini Bus,Fast DC,32
27,158,Rural,445,81,315,Articulated Bus,Pantograph,83
54,297,Highway,300,100,217,Mini Bus,Depot,27
53,271,Highway,294,101,222,Mini Bus,Fast DC,33
37,201,Urban,462,91,383,Double Decker Bus,Depot,80
33,139,Rural,308,80,235,Mini Bus,Depot,27
49,245,Highway,305,104,237,Mini Bus,Depot,35
31,173,Urban,431,78,308,Double Decker Bus,Pantograph,81
51,246,Highway,379,107,299,Standard City Bus,Depot,61
33,193,Urban,373,88,304,Standard City Bus,Pantograph,59
31,166,Rural,360,79,254,Standard City Bus,Pantograph,55
40,224,Highway,362,90,303,Standard City Bus,Fast DC,63
34,220,Urban,452,89,349,Double Decker Bus,Fast DC,71
34,227,Urban,384,88,279,Standard City Bus,Pantograph,58
31,205,Urban,371,84,287,Standard City Bus,Depot,58
31,232,Urban,300,77,236,Mini Bus,Fast DC,27
49,292,Highway,369,96,293,Standard City Bus,Fast DC,64
26,178,Rural,377,73,300,Standard City Bus,Fast DC,60
31,235,Urban,329,79,249,Mini Bus,Pantograph,34
32,172,Urban,416,88,316,Standard City Bus,Depot,53
32,134,Rural,425,77,327,Articulated Bus,Pantograph,95
33,184,Urban,463,80,380,Double Decker Bus,Depot,78
44,283,Highway,290,104,208,Mini Bus,Pantograph,29
31,148,Rural,340,82,280,Mini Bus,Depot,35
28,191,Rural,400,84,329,Articulated Bus,Depot,89
33,174,Rural,432,82,330,Articulated Bus,Fast DC,94
39,230,Urban,412,99,340,Articulated Bus,Fast DC,90
40,212,Urban,302,87,238,Mini Bus,Pantograph,30
55,261,Highway,424,114,344,Articulated Bus,Depot,85
35,176,Rural,373,88,268,Standard City Bus,Pantograph,58
30,149,Rural,477,78,362,Double Decker Bus,Depot,77
47,268,Highway,439,99,318,Articulated Bus,Depot,88
25,185,Rural,443,73,356,Articulated Bus,Fast DC,86
40,234,Urban,374,98,276,Standard City Bus,Pantograph,64
55,221,Highway,433,115,311,Double Decker Bus,Fast DC,80
25,199,Rural,326,76,273,Mini Bus,Fast DC,31
55,258,Highway,424,112,315,Articulated Bus,Fast DC,88
40,247,Highway,417,86,310,Standard City Bus,Fast DC,54
49,220,Highway,455,102,378,Double Decker Bus,Depot,78
39,240,Urban,445,93,312,Articulated Bus,Pantograph,82
28,164,Rural,449,83,357,Double Decker Bus,Depot,79
45,245,Highway,435,99,343,Double Decker Bus,Pantograph,77
33,194,Urban,337,89,250,Mini Bus,Depot,28
42,237,Highway,360,91,276,Standard City Bus,Fast DC,58
40,257,Highway,404,87,302,Articulated Bus,Pantograph,84
53,238,Highway,417,110,320,Standard City Bus,Fast DC,53
46,240,Highway,476,92,401,Double Decker Bus,Fast DC,76
53,282,Highway,423,110,353,Double Decker Bus,Depot,76
52,249,Highway,413,100,333,Articulated Bus,Fast DC,94
31,184,Urban,432,86,327,Articulated Bus,Pantograph,86
27,149,Rural,411,80,345,Articulated Bus,Fast DC,82
38,233,Urban,420,86,346,Standard City Bus,Pantograph,58
39,188,Urban,393,91,308,Standard City Bus,Depot,65
43,293,Highway,419,96,346,Standard City Bus,Fast DC,51
42,255,Highway,330,99,278,Mini Bus,Pantograph,28
31,236,Urban,293,86,246,Mini Bus,Pantograph,27
46,223,Highway,463,95,388,Double Decker Bus,Pantograph,84
32,133,Rural,315,91,265,Mini Bus,Depot,32
32,213,Urban,335,77,269,Mini Bus,Depot,29
40,187,Urban,432,90,332,Articulated Bus,Fast DC,92
37,203,Urban,320,89,271,Mini Bus,Depot,25
48,282,Highway,449,104,352,Articulated Bus,Fast DC,84
39,205,Urban,455,88,384,Articulated Bus,Fast DC,87
39,195,Urban,427,85,356,Double Decker Bus,Pantograph,76
48,295,Highway,403,108,289,Articulated Bus,Pantograph,94
32,145,Rural,303,80,256,Mini Bus,Pantograph,32
35,175,Urban,335,87,280,Mini Bus,Depot,25
40,176,Urban,405,85,336,Articulated Bus,Pantograph,84
34,173,Rural,296,79,231,Mini Bus,Pantograph,25
37,208,Urban,328,83,237,Mini Bus,Depot,28
39,170,Urban,409,87,319,Standard City Bus,Depot,56
31,184,Urban,437,76,356,Double Decker Bus,Pantograph,74
52,239,Highway,428,111,342,Double Decker Bus,Depot,72
28,159,Rural,305,78,225,Mini Bus,Fast DC,35
43,268,Highway,336,93,255,Mini Bus,Pantograph,30
39,218,Urban,409,90,337,Standard City Bus,Depot,64
33,220,Urban,362,92,273,Standard City Bus,Pantograph,60
53,243,Highway,316,111,266,Mini Bus,Depot,25
35,231,Urban,403,88,338,Standard City Bus,Pantograph,56
43,280,Highway,378,97,292,Standard City Bus,Pantograph,62
38,233,Urban,429,94,314,Articulated Bus,Pantograph,83
33,159,Rural,406,89,324,Articulated Bus,Depot,84
38,224,Urban,413,85,335,Standard City Bus,Depot,54
53,241,Highway,332,102,279,Mini Bus,Fast DC,29
31,181,Rural,395,89,318,Articulated Bus,Fast DC,95
49,234,Highway,369,106,290,Standard City Bus,Pantograph,50
51,274,Highway,430,108,315,Articulated Bus,Depot,95
45,298,Highway,331,100,264,Mini Bus,Pantograph,33
39,178,Urban,321,92,233,Mini Bus,Fast DC,35
55,276,Highway,456,113,353,Articulated Bus,Depot,94
52,243,Highway,444,104,313,Double Decker Bus,Depot,70
54,300,Highway,423,110,312,Double Decker Bus,Depot,72
26,167,Rural,433,78,317,Double Decker Bus,Pantograph,75
32,153,Rural,420,92,306,Standard City Bus,Pantograph,55
29,137,Rural,294,74,219,Mini Bus,Pantograph,26
46,263,Highway,293,92,239,Mini Bus,Fast DC,34
26,186,Rural,433,76,309,Articulated Bus,Pantograph,89
27,152,Rural,459,78,373,Articulated Bus,Fast DC,93
53,290,Highway,401,101,292,Standard City Bus,Fast DC,52
42,224,Highway,443,90,321,Double Decker Bus,Depot,83
35,193,Rural,399,91,311,Articulated Bus,Pantograph,95
33,183,Rural,460,87,368,Double Decker Bus,Fast DC,71
32,230,Urban,336,77,246,Mini Bus,Fast DC,27
30,152,Rural,449,78,371,Articulated Bus,Depot,80
29,137,Rural,459,86,329,Articulated Bus,Depot,90
26,175,Rural,397,73,283,Standard City Bus,Depot,62
26,148,Rural,464,83,366,Double Decker Bus,Pantograph,74
28,172,Rural,451,80,354,Articulated Bus,Pantograph,94
50,255,Highway,430,99,317,Double Decker Bus,Pantograph,81
55,275,Highway,467,103,369,Double Decker Bus,Fast DC,81
31,175,Urban,311,89,250,Mini Bus,Fast DC,28
46,246,Highway,393,104,316,Articulated Bus,Pantograph,90
39,224,Urban,383,86,308,Standard City Bus,Depot,54
31,178,Rural,431,88,319,Double Decker Bus,Depot,82
28,146,Rural,410,88,337,Standard City Bus,Pantograph,59
54,267,Highway,401,108,320,Articulated Bus,Fast DC,81
52,256,Highway,380,105,304,Standard City Bus,Fast DC,61
26,161,Rural,407,77,333,Articulated Bus,Fast DC,80
28,185,Rural,435,74,358,Double Decker Bus,Pantograph,72
34,145,Rural,311,89,245,Mini Bus,Depot,34
33,174,Urban,427,80,352,Articulated Bus,Depot,85
28,149,Rural,332,86,242,Mini Bus,Fast DC,33
48,291,Highway,478,101,369,Double Decker Bus,Depot,82
54,224,Highway,470,109,399,Double Decker Bus,Fast DC,77
40,221,Urban,470,96,389,Double Decker Bus,Depot,72
34,136,Rural,312,91,241,Mini Bus,Pantograph,29
40,211,Urban,433,85,338,Double Decker Bus,Pantograph,83
26,134,Rural,391,83,275,Standard City Bus,Depot,62
33,137,Rural,397,86,327,Standard City Bus,Fast DC,65
36,226,Urban,474,94,335,Double Decker Bus,Fast DC,72
37,195,Urban,297,97,221,Mini Bus,Pantograph,31
33,134,Rural,405,88,298,Standard City Bus,Fast DC,59
35,173,Urban,375,83,275,Standard City Bus,Depot,60
27,173,Rural,419,85,319,Articulated Bus,Depot,88
34,236,Urban,307,88,231,Mini Bus,Depot,32
32,168,Rural,339,91,273,Mini Bus,Depot,25
35,154,Rural,382,94,295,Standard City Bus,Pantograph,61
49,238,Highway,445,95,370,Articulated Bus,Pantograph,95
54,221,Highway,469,105,398,Double Decker Bus,Pantograph,83
34,179,Urban,428,84,322,Double Decker Bus,Depot,85
27,157,Rural,364,85,303,Standard City Bus,Fast DC,54
44,285,Highway,428,96,351,Articulated Bus,Pantograph,92
34,188,Rural,433,93,322,Articulated Bus,Depot,81
50,253,Highway,428,104,353,Double Decker Bus,Pantograph,72
55,226,Highway,437,105,315,Articulated Bus,Depot,80
35,174,Urban,433,91,346,Articulated Bus,Depot,89
32,215,Urban,387,83,320,Standard City Bus,Pantograph,63
29,164,Rural,307,84,249,Mini Bus,Fast DC,31
46,255,Highway,447,103,343,Articulated Bus,Pantograph,95
32,157,Rural,301,87,251,Mini Bus,Fast DC,29
40,290,Highway,418,99,324,Articulated Bus,Depot,80
31,185,Urban,328,83,269,Mini Bus,Fast DC,33
35,163,Rural,473,82,359,Double Decker Bus,Pantograph,81
27,159,Rural,458,75,336,Double Decker Bus,Depot,75
28,178,Rural,439,79,338,Articulated Bus,Pantograph,95
30,189,Rural,434,87,367,Articulated Bus,Pantograph,90
38,206,Urban,302,89,222,Mini Bus,Fast DC,34
30,135,Rural,435,90,315,Articulated Bus,Fast DC,90
30,217,Urban,476,84,344,Double Decker Bus,Depot,82
29,154,Rural,380,89,292,Standard City Bus,Depot,63
52,255,Highway,307,99,234,Mini Bus,Fast DC,30
44,288,Highway,432,103,304,Articulated Bus,Pantograph,81
53,241,Highway,421,101,304,Articulated Bus,Fast DC,93
25,167,Rural,414,79,333,Articulated Bus,Fast DC,88
34,215,Urban,410,91,328,Articulated Bus,Depot,93
52,227,Highway,373,110,269,Standard City Bus,Depot,62
40,268,Highway,340,97,268,Mini Bus,Pantograph,32
35,162,Rural,334,88,281,Mini Bus,Depot,26
35,185,Urban,434,94,342,Double Decker Bus,Depot,75
39,192,Urban,361,89,294,Standard City Bus,Fast DC,61
54,290,Highway,322,101,244,Mini Bus,Depot,33
31,146,Rural,467,77,329,Double Decker Bus,Fast DC,74
27,146,Rural,459,74,381,Double Decker Bus,Pantograph,81
31,131,Rural,413,85,347,Standard City Bus,Fast DC,59
34,186,Rural,381,86,279,Standard City Bus,Depot,57
29,176,Rural,442,77,357,Articulated Bus,Fast DC,82
28,148,Rural,436,75,366,Articulated Bus,Fast DC,85
48,225,Highway,296,104,246,Mini Bus,Fast DC,35
40,267,Highway,398,94,329,Articulated Bus,Fast DC,86
39,179,Urban,426,84,319,Double Decker Bus,Fast DC,82
27,181,Rural,366,75,276,Standard City Bus,Fast DC,52
25,134,Rural,394,72,293,Standard City Bus,Pantograph,59
43,226,Highway,461,88,346,Double Decker Bus,Pantograph,76
31,131,Rural,290,89,211,Mini Bus,Pantograph,33
51,271,Highway,296,109,235,Mini Bus,Fast DC,26
35,175,Rural,371,91,289,Standard City Bus,Depot,59
51,235,Highway,372,99,277,Standard City Bus,Fast DC,63
37,218,Urban,427,92,311,Articulated Bus,Pantograph,89
32,183,Rural,423,78,339,Articulated Bus,Depot,86
28,192,Rural,307,88,241,Mini Bus,Depot,33
33,212,Urban,443,79,359,Double Decker Bus,Pantograph,71
52,266,Highway,424,106,306,Articulated Bus,Fast DC,88
33,136,Rural,338,90,241,Mini Bus,Fast DC,35
47,287,Highway,433,102,345,Double Decker Bus,Fast DC,75
29,187,Rural,284,77,237,Mini Bus,Pantograph,32
30,172,Urban,445,87,358,Articulated Bus,Fast DC,83
33,151,Rural,434,87,336,Articulated Bus,Depot,93
31,236,Urban,411,83,296,Articulated Bus,Pantograph,94
35,171,Rural,330,87,233,Mini Bus,Fast DC,35
28,150,Rural,424,80,312,Double Decker Bus,Depot,81
33,166,Rural,391,86,324,Articulated Bus,Depot,80
25,137,Rural,458,80,348,Articulated Bus,Depot,83
40,263,Highway,419,91,321,Standard City Bus,Fast DC,57
25,188,Rural,425,85,325,Double Decker Bus,Pantograph,70
55,280,Highway,394,112,321,Articulated Bus,Fast DC,94
26,161,Rural,286,71,218,Mini Bus,Fast DC,31
40,229,Urban,310,88,248,Mini Bus,Fast DC,32
48,294,Highway,437,94,335,Articulated Bus,Fast DC,87
38,185,Urban,407,90,305,Articulated Bus,Fast DC,94
33,216,Urban,412,86,299,Standard City Bus,Fast DC,51
33,201,Urban,401,82,286,Articulated Bus,Fast DC,85
28,163,Rural,363,79,255,Standard City Bus,Depot,62
38,201,Urban,281,86,228,Mini Bus,Fast DC,27
36,194,Urban,380,82,292,Standard City Bus,Depot,59
31,183,Rural,314,80,222,Mini Bus,Fast DC,31
40,189,Urban,427,94,306,Double Decker Bus,Pantograph,82
42,236,Highway,390,102,318,Articulated Bus,Pantograph,88
55,258,Highway,309,108,225,Mini Bus,Fast DC,32
30,180,Urban,313,85,250,Mini Bus,Pantograph,35
45,235,Highway,393,99,299,Standard City Bus,Depot,52
31,239,Urban,434,86,327,Articulated Bus,Fast DC,91
40,274,Highway,435,94,358,Articulated Bus,Pantograph,91
41,258,Highway,396,100,292,Standard City Bus,Pantograph,53
36,204,Urban,427,86,341,Articulated Bus,Pantograph,90
34,224,Urban,480,90,379,Double Decker Bus,Pantograph,76
26,166,Rural,296,81,208,Mini Bus,Pantograph,32
29,140,Rural,409,80,327,Articulated Bus,Depot,93
30,174,Rural,330,79,270,Mini Bus,Pantograph,27
25,166,Rural,331,84,243,Mini Bus,Pantograph,35
32,145,Rural,434,84,348,Double Decker Bus,Fast DC,73
35,182,Rural,476,92,399,Double Decker Bus,Depot,73
34,186,Rural,411,85,298,Standard City Bus,Depot,50
28,152,Rural,433,77,322,Articulated Bus,Fast DC,80
43,288,Highway,405,99,308,Standard City Bus,Depot,60
37,202,Urban,323,94,266,Mini Bus,Pantograph,26
26,194,Rural,291,79,228,Mini Bus,Depot,26
30,207,Urban,457,75,335,Double Decker Bus,Pantograph,84
27,192,Rural,437,84,346,Articulated Bus,Pantograph,82
52,221,Highway,418,101,354,Standard City Bus,Depot,51
33,154,Rural,386,84,285,Standard City Bus,Pantograph,65
50,299,Highway,459,102,362,Articulated Bus,Depot,87
40,258,Highway,478,85,357,Double Decker Bus,Fast DC,73
25,172,Rural,427,70,321,Double Decker Bus,Depot,72
40,179,Urban,457,93,324,Articulated Bus,Depot,82
42,277,Highway,439,102,313,Articulated Bus,Pantograph,91
47,293,Highway,420,97,352,Standard City Bus,Depot,56
40,198,Urban,434,96,339,Articulated Bus,Pantograph,89
35,150,Rural,426,91,320,Double Decker Bus,Pantograph,73
33,178,Rural,407,82,285,Standard City Bus,Fast DC,51
52,270,Highway,411,108,310,Articulated Bus,Pantograph,90
33,212,Urban,368,78,258,Standard City Bus,Depot,52
38,206,Urban,411,86,317,Standard City Bus,Depot,51
33,172,Urban,479,87,351,Double Decker Bus,Fast DC,82
45,232,Highway,307,94,248,Mini Bus,Depot,28
37,185,Urban,299,95,218,Mini Bus,Depot,27
55,248,Highway,419,105,321,Standard City Bus,Fast DC,55
25,160,Rural,289,85,230,Mini Bus,Fast DC,30
30,184,Rural,458,86,361,Articulated Bus,Pantograph,86
30,200,Rural,451,79,333,Double Decker Bus,Fast DC,74
38,207,Urban,363,97,274,Standard City Bus,Fast DC,57
38,238,Urban,294,85,227,Mini Bus,Fast DC,29
26,185,Rural,326,86,240,Mini Bus,Fast DC,33
28,160,Rural,418,76,330,Articulated Bus,Fast DC,81
30,170,Rural,436,86,331,Double Decker Bus,Pantograph,83
55,243,Highway,410,107,315,Articulated Bus,Fast DC,87
27,152,Rural,301,73,224,Mini Bus,Depot,33
52,230,Highway,452,105,330,Articulated Bus,Depot,93
46,242,Highway,430,100,351,Double Decker Bus,Fast DC,72
40,239,Highway,456,97,350,Articulated Bus,Fast DC,91
31,138,Rural,388,79,285,Standard City Bus,Fast DC,58
53,220,Highway,417,105,327,Articulated Bus,Pantograph,95
54,223,Highway,297,112,221,Mini Bus,Fast DC,34
28,193,Rural,415,84,301,Standard City Bus,Pantograph,65
49,279,Highway,335,98,245,Mini Bus,Depot,34
31,236,Urban,312,86,222,Mini Bus,Pantograph,34
38,213,Urban,363,92,281,Standard City Bus,Fast DC,64
32,132,Rural,477,86,375,Double Decker Bus,Pantograph,81
52,289,Highway,467,106,371,Double Decker Bus,Fast DC,74
31,222,Urban,379,80,290,Standard City Bus,Depot,51
47,273,Highway,318,96,256,Mini Bus,Depot,29
32,141,Rural,472,83,371,Double Decker Bus,Depot,78
34,238,Urban,417,94,333,Articulated Bus,Depot,84
34,213,Urban,460,83,372,Articulated Bus,Depot,81
39,200,Urban,460,94,328,Double Decker Bus,Pantograph,84
28,130,Rural,435,79,349,Articulated Bus,Depot,95
38,222,Urban,309,96,236,Mini Bus,Fast DC,32
27,173,Rural,307,77,225,Mini Bus,Fast DC,32
40,287,Highway,300,98,251,Mini Bus,Depot,27
32,192,Rural,414,80,340,Standard City Bus,Depot,58
39,201,Urban,296,87,229,Mini Bus,Fast DC,30
39,179,Urban,440,87,309,Articulated Bus,Depot,86
50,274,Highway,406,110,322,Articulated Bus,Depot,87
35,185,Rural,369,92,307,Standard City Bus,Fast DC,63
42,292,Highway,450,91,333,Double Decker Bus,Pantograph,76
27,140,Rural,478,73,376,Double Decker Bus,Pantograph,78
30,190,Rural,393,90,321,Articulated Bus,Pantograph,92
48,246,Highway,401,101,315,Standard City Bus,Depot,54
31,144,Rural,318,91,241,Mini Bus,Fast DC,28
34,205,Urban,441,92,340,Double Decker Bus,Depot,73
33,174,Urban,476,92,339,Double Decker Bus,Pantograph,77
31,181,Urban,330,87,257,Mini Bus,Fast DC,31
51,251,Highway,379,105,304,Standard City Bus,Depot,51
48,271,Highway,456,103,380,Articulated Bus,Depot,89
34,146,Rural,444,88,328,Articulated Bus,Fast DC,82
35,199,Rural,460,91,388,Articulated Bus,Depot,85
32,134,Rural,452,89,367,Double Decker Bus,Fast DC,76
32,201,Urban,382,82,307,Standard City Bus,Fast DC,57
32,139,Rural,425,77,355,Articulated Bus,Pantograph,95
45,259,Highway,311,96,263,Mini Bus,Fast DC,30
45,294,Highway,427,102,338,Double Decker Bus,Depot,73
48,242,Highway,441,97,353,Double Decker Bus,Fast DC,72
35,208,Urban,385,87,282,Standard City Bus,Pantograph,54
37,224,Urban,391,90,283,Standard City Bus,Depot,53
54,283,Highway,438,110,313,Articulated Bus,Fast DC,80
33,130,Rural,426,78,299,Double Decker Bus,Fast DC,80
34,195,Rural,480,84,339,Double Decker Bus,Pantograph,82
37,219,Urban,320,92,241,Mini Bus,Depot,30
34,183,Urban,453,92,351,Double Decker Bus,Pantograph,72
44,272,Highway,299,92,238,Mini Bus,Fast DC,27
31,189,Rural,391,80,276,Articulated Bus,Fast DC,92
32,238,Urban,465,78,340,Double Decker Bus,Pantograph,78
52,231,Highway,360,98,283,Standard City Bus,Fast DC,55
25,130,Rural,384,71,304,Standard City Bus,Depot,54
43,223,Highway,372,90,308,Standard City Bus,Pantograph,59
32,237,Urban,417,91,336,Articulated Bus,Depot,86
38,171,Urban,328,93,276,Mini Bus,Pantograph,32
30,206,Urban,283,89,235,Mini Bus,Depot,26
35,170,Rural,323,86,229,Mini Bus,Pantograph,33
35,226,Urban,415,81,296,Articulated Bus,Fast DC,90
31,178,Urban,447,79,350,Articulated Bus,Fast DC,93
44,280,Highway,420,93,319,Double Decker Bus,Fast DC,85
54,257,Highway,428,105,331,Double Decker Bus,Depot,83
49,252,Highway,414,100,320,Articulated Bus,Pantograph,95
48,237,Highway,317,93,243,Mini Bus,Fast DC,32
31,181,Urban,364,91,304,Standard City Bus,Depot,54
31,151,Rural,478,89,365,Double Decker Bus,Fast DC,72
39,187,Urban,393,84,328,Standard City Bus,Pantograph,61
33,173,Urban,393,81,288,Standard City Bus,Depot,65
34,196,Rural,432,79,313,Articulated Bus,Depot,81
43,225,Highway,407,102,333,Standard City Bus,Depot,51
50,257,Highway,437,109,346,Double Decker Bus,Fast DC,76
38,223,Urban,428,94,349,Double Decker Bus,Pantograph,79
27,141,Rural,325,77,242,Mini Bus,Depot,29
47,233,Highway,440,95,327,Double Decker Bus,Pantograph,82
43,225,Highway,457,103,320,Articulated Bus,Depot,82
37,170,Urban,362,93,294,Standard City Bus,Fast DC,63
33,200,Rural,311,89,224,Mini Bus,Pantograph,34
31,186,Urban,408,90,287,Articulated Bus,Fast DC,94
44,280,Highway,431,100,302,Articulated Bus,Depot,86
40,179,Urban,470,98,334,Double Decker Bus,Fast DC,85
33,210,Urban,433,87,305,Articulated Bus,Pantograph,90
53,237,Highway,292,108,244,Mini Bus,Pantograph,31
37,171,Urban,446,94,315,Double Decker Bus,Fast DC,75
34,178,Urban,438,82,369,Double Decker Bus,Pantograph,81
29,188,Rural,420,74,353,Double Decker Bus,Fast DC,83
33,179,Rural,410,80,288,Standard City Bus,Depot,57
32,165,Rural,425,78,346,Articulated Bus,Fast DC,83
28,132,Rural,370,84,280,Standard City Bus,Pantograph,51
35,192,Rural,450,95,319,Double Decker Bus,Fast DC,80
36,203,Urban,411,96,336,Standard City Bus,Depot,61
34,217,Urban,434,89,324,Double Decker Bus,Pantograph,80
27,135,Rural,317,82,266,Mini Bus,Fast DC,35
46,286,Highway,426,95,340,Articulated Bus,Depot,89
47,252,Highway,303,99,215,Mini Bus,Depot,33
44,299,Highway,438,91,365,Double Decker Bus,Depot,73
35,174,Rural,387,83,292,Standard City Bus,Pantograph,60
45,298,Highway,319,99,247,Mini Bus,Pantograph,35
48,261,Highway,442,96,346,Double Decker Bus,Fast DC,83
36,182,Urban,304,82,237,Mini Bus,Fast DC,29
34,165,Rural,464,90,337,Double Decker Bus,Fast DC,71
40,174,Urban,393,90,321,Articulated Bus,Pantograph,86
28,176,Rural,479,78,376,Double Decker Bus,Fast DC,74
36,238,Urban,429,95,328,Double Decker Bus,Fast DC,79
39,237,Urban,405,85,327,Articulated Bus,Depot,91
37,184,Urban,447,82,320,Double Decker Bus,Pantograph,81
43,231,Highway,328,102,274,Mini Bus,Pantograph,35
32,140,Rural,327,85,263,Mini Bus,Pantograph,27
33,193,Rural,440,82,337,Articulated Bus,Pantograph,80
39,174,Urban,369,90,260,Standard City Bus,Pantograph,61
38,231,Urban,421,87,331,Articulated Bus,Fast DC,90
31,180,Rural,408,88,335,Standard City Bus,Pantograph,64
34,182,Rural,303,93,239,Mini Bus,Fast DC,27
29,157,Rural,312,83,265,Mini Bus,Pantograph,35
43,236,Highway,440,95,361,Articulated Bus,Depot,90
51,237,Highway,389,106,300,Standard City Bus,Pantograph,51
30,207,Urban,389,82,315,Standard City Bus,Depot,51
36,226,Urban,308,96,236,Mini Bus,Fast DC,31
49,265,Highway,479,99,401,Double Decker Bus,Fast DC,70
27,144,Rural,422,79,310,Double Decker Bus,Pantograph,79
